Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
02/02/2022,United States,2020,1,2020/1/4,60173,55007,843,11569,1829,2537,1559,3501,1067,1094,629,14202,3110,0,0
02/02/2022,United States,2020,2,2020/1/11,60733,55754,861,11963,1941,2566,1528,3709,1035,1092,649,13911,3188,1,1
02/02/2022,United States,2020,3,2020/1/18,59369,54519,829,11701,1819,2491,1484,3527,992,1121,610,13595,3256,2,1
02/02/2022,United States,2020,4,2020/1/25,59158,54396,828,11879,1864,2517,1488,3403,979,1107,637,13610,3185,2,1
02/02/2022,United States,2020,5,2020/2/1,58826,53996,811,11963,1828,2480,1411,3313,981,1074,613,13463,3084,0,0
02/02/2022,United States,2020,6,2020/2/8,59487,54414,806,11704,1957,2515,1464,3413,974,1135,599,14005,3056,3,2
02/02/2022,United States,2020,7,2020/2/15,58808,53966,792,11806,1848,2537,1513,3477,979,1070,616,13640,3088,5,2
02/02/2022,United States,2020,8,2020/2/22,58906,53983,779,11780,1880,2515,1461,3454,968,1059,608,13630,3083,6,6
02/02/2022,United States,2020,9,2020/2/29,59330,54313,813,11790,1831,2519,1507,3460,1011,1092,677,13712,3126,9,9
02/02/2022,United States,2020,10,2020/3/7,59692,54384,811,11712,1867,2511,1608,3470,1002,1071,654,13684,3097,38,34
02/02/2022,United States,2020,11,2020/3/14,58667,53526,756,11568,1743,2445,1641,3390,993,1078,643,13435,3165,60,55
02/02/2022,United States,2020,12,2020/3/21,59239,54316,840,11732,1831,2514,1740,3385,1021,1105,619,13212,3066,588,550
